일시,지점명,10년 전반(°C),10년 중반(°C),10년 후반(°C),30년 평년(°C)
1,신암,1,1.2,1.2,1.1
2,신암,3,4,3.6,3.5
3,신암,7.8,8.5,9.1,8.4
4,신암,14.3,14.6,14.5,14.5
5,신암,19,19.5,20.5,19.7
6,신암,22.8,23.4,23.9,23.4
7,신암,26.1,25.9,27,26.3
8,신암,26.1,26.5,27.5,26.7
9,신암,21.8,22.1,22.2,22.1
10,신암,15.9,16.4,16.4,16.2
11,신암,9.2,9.3,9.9,9.4
12,신암,3.4,2.9,2.6,3
