일시,지점명,10년 전반(°C),10년 중반(°C),10년 후반(°C),30년 평년(°C)
1,부산,3.7,3.5,3.4,3.6
2,부산,5,5.8,5.3,5.4
3,부산,8.9,8.9,9.5,9.1
4,부산,13.8,13.6,13.9,13.8
5,부산,17.6,17.5,18.5,17.9
6,부산,20.7,20.9,21.5,21
7,부산,24.4,23.9,25,24.4
8,부산,25.7,25.8,26.8,26.1
9,부산,22.6,22.6,22.6,22.6
10,부산,17.7,18,17.9,17.9
11,부산,11.9,11.6,12.2,11.9
12,부산,6.5,5.6,5.2,5.8
