일시,지점명,10년 전반(°C),10년 중반(°C),10년 후반(°C),30년 평년(°C)
1,인제,-4.7,-4.7,-4.5,-4.7
2,인제,-2.5,-1.1,-1.7,-1.8
3,인제,3.4,4.1,4.6,4
4,인제,10.5,10.8,10.6,10.6
5,인제,15.2,16.2,16.9,16.1
6,인제,19.9,20.4,21,20.4
7,인제,23.1,23.1,23.6,23.3
8,인제,22.9,23.4,24.1,23.4
9,인제,18,18.6,18.5,18.4
10,인제,11.3,12.1,11.9,11.8
11,인제,4.5,4.6,5.4,4.8
12,인제,-1.6,-2.3,-2.5,-2.1
